frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
96,61.45722961425781,-254.410888671875,-1502.9686279296875,-0.19376812665138213,-0.9535858152644786,0.23049513231388116,0.6996558646015888,0.030374060801811372,0.7138340756499447,-0.6877031221556414,0.29958556266413694,0.6612963831903176
97,45.46571731567383,-257.05877685546875,-1527.2713623046875,-0.09519967661570065,-0.9675685932461273,0.23398298856108393,0.7715762763539546,0.0767933641377347,0.6314846229261447,-0.6289730291038177,0.24065285493448774,0.7392422688617369
98,44.95473098754883,-257.65399169921875,-1527.26806640625,-0.09810117042357426,-0.96943999260335,0.22486053700625516,0.7655520149526319,0.07085319312661333,0.63946066135903,-0.6358508258730896,0.23487427650762321,0.7352059585391909
99,45.107147216796875,-250.56936645507812,-1532.977294921875,-0.10503133768067702,-0.9741470983108966,0.20001462185917296,0.7390132400845778,0.05812874671910252,0.671178426191248,-0.6654531156172475,0.21830822168971736,0.7138022634161169
100,23.286460876464844,-201.20242309570312,-1554.2730712890625,-0.1723423383588831,-0.972704623362332,-0.15538286294999243,0.21631636528185885,-0.19126549483238112,0.9574052123305836,-0.9609918566357561,0.13138959690960417,0.24337507124538058
101,45.814022064208984,-227.66664123535156,-1522.7137451171875,-0.22813900538751444,-0.9587887428491068,-0.16934208220824792,0.17728394663415464,-0.211928922674691,0.9610705145824436,-0.9573520755117283,0.18923603863898172,0.2183271059525407
102,46.14879608154297,-227.93447875976562,-1523.074462890625,-0.2299443364449174,-0.9603629783697366,-0.15757078382021023,0.18820109456573808,-0.20273364783933523,0.9609783639801754,-0.9548329435776526,0.1913165382567989,0.22735881783707018
103,49.63419723510742,-226.8062744140625,-1523.226806640625,-0.23798169011157874,-0.9593133871126991,-0.15192939306795492,0.19203860557954042,-0.19980980626708547,0.9608315228418433,-0.9520955252172453,0.19948400092706786,0.23177628057121671
104,52.45783996582031,-224.15408325195312,-1524.3018798828125,-0.2410543403922312,-0.9618336001207335,-0.12949490591083207,0.2079286269350181,-0.18151447768319304,0.9611546080065972,-0.9479759971006567,0.20476479206686518,0.24374759250263184
105,18.424880981445312,-232.9440155029297,-1523.10498046875,0.0546188332170202,-0.9979184549338419,0.03428615406348593,0.3372825177149647,0.05075778693095798,0.9400341218858632,-0.9398176878000679,-0.0397794465562963,0.3393527800531608
106,36.860015869140625,-290.76513671875,-1451.3013916015625,0.3860701504374986,-0.8867982790748687,0.25404458500629057,0.4418479837088301,0.4195199393788756,0.7929523187153096,-0.8097655205265339,-0.1938861333190069,0.553794157673224
107,37.13279724121094,-288.1574401855469,-1453.873779296875,0.3736746837581333,-0.8934680418850974,0.24916277580784174,0.43952474409056885,0.40710778841669387,0.8006754947808684,-0.816814073122139,-0.18967895703129045,0.5448271865547302
108,37.896446228027344,-286.7043762207031,-1454.1341552734375,0.3736351395503128,-0.8923351199765712,0.25324852645102697,0.43588843721016685,0.40990739883558974,0.8012347937317245,-0.8187783905304882,-0.18898136954800326,0.5421143690809757
109,44.57769775390625,-280.67755126953125,-1455.055419921875,0.368407737093849,-0.8920889312114505,0.26163539145039505,0.4261293295990719,0.41216564917127524,0.8053156350765003,-0.8262502851465984,-0.18519399680668175,0.5319902723188947
110,42.407958984375,-281.3983459472656,-1455.156982421875,0.36391914584664825,-0.8940564424834598,0.2612009436048532,0.42550301093415926,0.4090353403232549,0.807240532959417,-0.828559015986315,-0.18262849728467562,0.5292794998933272
111,42.380889892578125,-282.185302734375,-1455.2554931640625,0.3528521055308397,-0.9009697276416752,0.2524855272995642,0.4270819830048075,0.3951745753357936,0.8132884081313693,-0.8325240965972904,-0.17913850753386618,0.5242261188679981
112,35.50300598144531,-281.31005859375,-1459.8564453125,0.35984602306210395,-0.9032786937942487,0.23366309298591317,0.42798407472916233,0.3823423945659884,0.8189285225804318,-0.8290599926812356,-0.1946840893727625,0.5241732861187106
113,-33.968048095703125,-288.85247802734375,-1478.1646728515625,0.3675494627901501,-0.9280373456395521,0.06044896608683038,0.4821094388516938,0.24571589367271518,0.840948386386896,-0.7952847800459764,-0.2799471105314603,0.537728308658108
114,-49.6102294921875,-296.8067932128906,-1475.774169921875,0.3604409948011897,-0.9310788142952611,0.056342975047998255,0.4925071216146839,0.24126176784930897,0.8361994346643897,-0.7921609839076572,-0.27365123961852744,0.5455235784360705
115,162.9737548828125,-259.58648681640625,-1445.2684326171875,0.13639769758165068,-0.9529355957997038,0.2707571205938786,0.40693162134221283,0.3030835555761807,0.8617116767754155,-0.9032177609227038,-0.007355854618174172,0.4291195261889324
116,159.03775024414062,-256.1878662109375,-1449.754150390625,0.14400266113050783,-0.9504036007622826,0.2756741359747408,0.39864876996408566,0.31068764528566234,0.8628744666942997,-0.9057275483242484,-0.014359064208304389,0.4236170741148286
117,158.91232299804688,-256.3219299316406,-1450.10791015625,0.1418590970225379,-0.9519343704857198,0.271471823362769,0.39690294546773375,0.3059339096136347,0.8653741935299165,-0.9068318744238025,-0.015013235376581578,0.4212250637041201
118,158.8992462158203,-256.1236267089844,-1450.777587890625,0.14016920337129407,-0.9526621348017522,0.26979149605060715,0.39659809548399716,0.30368836051560943,0.8663044097462551,-0.9072279454937017,-0.01443040547972257,0.42039174386870126
